# Summary statistics, used for scaling the plots.
SS	Samtools version: 1.17
SS	Command line: ampliconstats -l 20000 primers.bed /home/kdunorat/PycharmProjects/disBAM/src/input/aln.virus.sorted_NC_045512.2.sorted.bam
SS	Number of files:	1
SS	Number of amplicons:	NC_045512.2	91
SS	Reference length:	NC_045512.2	29903
SS	End of summary
# Amplicon locations from BED file.
# LEFT/RIGHT are <start>-<end> format and comma-separated for alt-primers.
#
# AMPLICON	REF	NUMBER	LEFT	RIGHT
AMPLICON	NC_045512.2	1	26-50	409-431
AMPLICON	NC_045512.2	2	645-666	706-727
AMPLICON	NC_045512.2	3	945-966	1018-1044,1338-1362
AMPLICON	NC_045512.2	4	1541-1562	1624-1650
AMPLICON	NC_045512.2	5	1852-1875	1926-1948
AMPLICON	NC_045512.2	6	2155-2180	2229-2250
AMPLICON	NC_045512.2	7	2484-2508	2545-2571
AMPLICON	NC_045512.2	8	2781-2813,2827-2850	2862-2885
AMPLICON	NC_045512.2	9	3079-3102	3184-3210
AMPLICON	NC_045512.2	10	3391-3412	3471-3492
AMPLICON	NC_045512.2	11	3684-3705	3770-3794
AMPLICON	NC_045512.2	12	3993-4018	4068-4093
AMPLICON	NC_045512.2	13	4313-4339	4388-4409
AMPLICON	NC_045512.2	14	4621-4648	4686-4710
AMPLICON	NC_045512.2	15	4924-4953	4996-5017
AMPLICON	NC_045512.2	16	5231-5259	5303-5331
AMPLICON	NC_045512.2	17	5562-5584	5621-5643
AMPLICON	NC_045512.2	18	5868-5894	5933-5957
AMPLICON	NC_045512.2	19	6185-6210	6248-6272
AMPLICON	NC_045512.2	20	6479-6507	6554-6582
AMPLICON	NC_045512.2	21	6748-6776	6860-6885
AMPLICON	NC_045512.2	22	7058-7084	7123-7148,7128-7156
AMPLICON	NC_045512.2	23	7382-7403	7441-7467
AMPLICON	NC_045512.2	24	7673-7695	7748-7770
AMPLICON	NC_045512.2	25	7998-8019	8064-8092
AMPLICON	NC_045512.2	26	8305-8326	8368-8392,8371-8395
AMPLICON	NC_045512.2	27	8597-8619	8692-8714
AMPLICON	NC_045512.2	28	8920-8944	8991-9013
AMPLICON	NC_045512.2	29	9169-9192	9307-9329
AMPLICON	NC_045512.2	30	9471-9497	9536-9564
AMPLICON	NC_045512.2	31	9783-9805	9843-9866
AMPLICON	NC_045512.2	32	10077-10099	10151-10176
AMPLICON	NC_045512.2	33	10394-10419	10466-10491
AMPLICON	NC_045512.2	34	10714-10742	10786-10810
AMPLICON	NC_045512.2	35	11001-11023	11093-11116
AMPLICON	NC_045512.2	36	11306-11330	11389-11414
AMPLICON	NC_045512.2	37	11625-11651	11690-11720
AMPLICON	NC_045512.2	38	11938-11963	12012-12033,12318-12339
AMPLICON	NC_045512.2	39	12520-12546,12520-12546	12619-12643
AMPLICON	NC_045512.2	40	12832-12856	12896-12920
AMPLICON	NC_045512.2	41	13125-13148	13219-13240
AMPLICON	NC_045512.2	42	13464-13485	13507-13528
AMPLICON	NC_045512.2	43	13753-13775	13834-13859
AMPLICON	NC_045512.2	44	14046-14075	14121-14144
AMPLICON	NC_045512.2	45	14339-14362	14429-14457
AMPLICON	NC_045512.2	46	14648-14674	14718-14743
AMPLICON	NC_045512.2	47	14954-14983	15024-15050
AMPLICON	NC_045512.2	48	15215-15237	15337-15358
AMPLICON	NC_045512.2	49	15536-15557	15597-15619
AMPLICON	NC_045512.2	50	15856-15881	15918-15941
AMPLICON	NC_045512.2	51	16113-16137,16387-16408	16484-16508
AMPLICON	NC_045512.2	52	16693-16714	16768-16796
AMPLICON	NC_045512.2	53	16987-17013	17083-17105
AMPLICON	NC_045512.2	54	17324-17345	17382-17405
AMPLICON	NC_045512.2	55	17616-17642	17689-17711
AMPLICON	NC_045512.2	56	17912-17939	17998-18022
AMPLICON	NC_045512.2	57	18245-18267,18551-18578	18625-18652
AMPLICON	NC_045512.2	58	18870-18891	18937-18961
AMPLICON	NC_045512.2	59	19184-19208	19253-19277
AMPLICON	NC_045512.2	60	19486-19513	19559-19586,19593-19620
AMPLICON	NC_045512.2	61	19811-19836	19878-19901
AMPLICON	NC_045512.2	62	20091-20117	20187-20216
AMPLICON	NC_045512.2	63	20378-20405	20473-20497
AMPLICON	NC_045512.2	64	20678-20699	20767-20792
AMPLICON	NC_045512.2	65	20989-21013	21051-21080
AMPLICON	NC_045512.2	66	21295-21316	21359-21387
AMPLICON	NC_045512.2	67	21533-21561	21676-21700
AMPLICON	NC_045512.2	68	21866-21889	21905-21933
AMPLICON	NC_045512.2	69	22092-22113	22248-22274
AMPLICON	NC_045512.2	70	22403-22428	22475-22503
AMPLICON	NC_045512.2	71	22649-22677,22743-22774,22945-22974	23029-23057
AMPLICON	NC_045512.2	72	23220-23246	23328-23351
AMPLICON	NC_045512.2	73	23554-23575	23612-23635
AMPLICON	NC_045512.2	74	23854-23876	23915-23944,23928-23955
AMPLICON	NC_045512.2	75	24172-24194	24234-24258
AMPLICON	NC_045512.2	76	24427-24448	24546-24567
AMPLICON	NC_045512.2	77	24751-24772	24815-24836
AMPLICON	NC_045512.2	78	25052-25076	25123-25150
AMPLICON	NC_045512.2	79	25332-25353	25439-25461
AMPLICON	NC_045512.2	80	25646-25672	25712-25740
AMPLICON	NC_045512.2	81	25952-25979	26027-26050
AMPLICON	NC_045512.2	82	26243-26268,26256-26277	26339-26360
AMPLICON	NC_045512.2	83	26565-26587,26593-26621	26636-26661
AMPLICON	NC_045512.2	84	26874-26895	26957-26979,26967-26991
AMPLICON	NC_045512.2	85	27153-27177	27219-27251,27257-27283
AMPLICON	NC_045512.2	86	27448-27473	27535-27560
AMPLICON	NC_045512.2	87	27701-27726	27827-27855
AMPLICON	NC_045512.2	88	27997-28021	28083-28104
AMPLICON	NC_045512.2	89	28191-28214	28395-28416
AMPLICON	NC_045512.2	90	28513-28536	28573-28598
AMPLICON	NC_045512.2	91	28828-28849,29137-29161,29453-29475	29513-29534,29829-29854
# Summary stats.
# Use 'grep ^FSS | cut -f 2-' to extract this part.
FSS	aln.virus.sorted_NC_045512.2.sorted	NC_045512.2	raw total sequences:	237814
FSS	aln.virus.sorted_NC_045512.2.sorted	NC_045512.2	filtered sequences:	0
FSS	aln.virus.sorted_NC_045512.2.sorted	NC_045512.2	failed primer match:	174275
FSS	aln.virus.sorted_NC_045512.2.sorted	NC_045512.2	matching sequences:	63539
FSS	aln.virus.sorted_NC_045512.2.sorted	NC_045512.2	consensus depth count < 1 and >= 1:	47	5083
# Absolute matching read counts per amplicon.
# Use 'grep ^FREADS | cut -f 2-' to extract this part.
